year,gender,age,value
2000,Female+,100 years and older,121.0
2001,Female+,100 years and older,122.0
2002,Female+,100 years and older,130.0
2003,Female+,100 years and older,134.0
2004,Female+,100 years and older,134.0
2005,Female+,100 years and older,159.0
2006,Female+,100 years and older,182.0
2007,Female+,100 years and older,185.0
2008,Female+,100 years and older,194.0
2009,Female+,100 years and older,229.0
2010,Female+,100 years and older,272.0
2011,Female+,100 years and older,262.0
2012,Female+,100 years and older,276.0
2013,Female+,100 years and older,299.0
2014,Female+,100 years and older,328.0
2015,Female+,100 years and older,352.0
2016,Female+,100 years and older,349.0
2017,Female+,100 years and older,360.0
2018,Female+,100 years and older,371.0
2019,Female+,100 years and older,375.0
2020,Female+,100 years and older,429.0
2021,Female+,100 years and older,422.0
2022,Female+,100 years and older,379.0
2023,Female+,100 years and older,368.0
1971,Female+,Average age,32.1
1972,Female+,Average age,32.5
1973,Female+,Average age,32.8
1974,Female+,Average age,33.0
1975,Female+,Average age,33.2
1976,Female+,Average age,33.3
1977,Female+,Average age,33.4
1978,Female+,Average age,33.6
1979,Female+,Average age,33.8
1980,Female+,Average age,33.9
1981,Female+,Average age,34.1
1982,Female+,Average age,34.3
1983,Female+,Average age,34.3
1984,Female+,Average age,34.4
1985,Female+,Average age,34.6
1986,Female+,Average age,34.8
1987,Female+,Average age,35.0
1988,Female+,Average age,35.3
1989,Female+,Average age,35.6
1990,Female+,Average age,36.0
1991,Female+,Average age,36.2
1992,Female+,Average age,36.5
1993,Female+,Average age,36.7
1994,Female+,Average age,36.9
1995,Female+,Average age,37.0
1996,Female+,Average age,37.2
1997,Female+,Average age,37.4
1998,Female+,Average age,37.6
1999,Female+,Average age,37.9
2000,Female+,Average age,38.2
2001,Female+,Average age,38.5
2002,Female+,Average age,38.7
2003,Female+,Average age,38.9
2004,Female+,Average age,39.1
2005,Female+,Average age,39.4
2006,Female+,Average age,39.6
2007,Female+,Average age,39.7
2008,Female+,Average age,39.7
2009,Female+,Average age,39.7
2010,Female+,Average age,39.7
2011,Female+,Average age,39.7
2012,Female+,Average age,39.7
2013,Female+,Average age,39.6
2014,Female+,Average age,39.6
2015,Female+,Average age,39.6
2016,Female+,Average age,39.6
2017,Female+,Average age,39.7
2018,Female+,Average age,39.8
2019,Female+,Average age,40.0
2020,Female+,Average age,40.2
2021,Female+,Average age,40.5
2022,Female+,Average age,40.5
2023,Female+,Average age,40.5
